seg_id,Subject_ID,PCC,MAE,RMSE
0,25,0.6605783329499088,0.08728612530103419,0.11716093507698432
1,25,0.6591859516453535,0.08404009589517955,0.11600849103401628
2,25,0.648810402003968,0.08835137944901363,0.11881828656343492
3,25,0.6496487506902511,0.0872008182958234,0.11863047843362633
4,25,0.6595272086391287,0.08300200736965052,0.11658765896311479
5,25,0.6778205946949816,0.07844351726700552,0.1139984442710453
6,25,0.6799282216259198,0.07460497419117018,0.1092644179947397
7,25,0.6731424572132135,0.07644112363224849,0.11078736310226094
8,25,0.6269857510950602,0.07853364255512134,0.11646334175470661
9,25,0.6485130394789534,0.07499224704224616,0.11343524948850868
10,25,0.6758098913263051,0.06706664209661539,0.11056416227597439
11,25,0.6726416021392563,0.06760145461128558,0.11171353809235876
12,25,0.6738711534518935,0.06775762475270312,0.11216543052441227
13,25,0.6811072525209269,0.06566341458412353,0.11026527182474435
14,25,0.6665893853635808,0.0717592422326561,0.11338993210769298
15,25,0.6733603965046969,0.07487974528514314,0.11441196409860369
16,25,0.6934024949530344,0.07394620025123004,0.11011793102275472
17,25,0.6813202923948468,0.06607241922756657,0.10836057014914999
18,25,0.6395247003881462,0.07308467740658671,0.11159059910407092
19,25,0.662336183008019,0.06794302221387624,0.10863901201966061
20,25,0.6605710916127474,0.0669445785775315,0.11017232047278155
21,25,0.6464233277234323,0.07164961287635378,0.11075254324640389
22,25,0.6286308453896068,0.07101863310090266,0.11347513730162523
23,25,0.6278909374651079,0.06961225207196549,0.1136157672027077
24,25,0.6213937650032797,0.0696280553820543,0.11534280878570054
25,25,0.6133743766099757,0.07461400420637801,0.11617302828320021
26,25,0.5900404134913606,0.07447855733800679,0.1198578923152455
27,25,0.6159146660043511,0.07439252024923917,0.11852625220142023
28,25,0.6152142135860565,0.0767994435474975,0.11831774678569054
29,25,0.6248797176180239,0.07557411604502703,0.1163170770858735
30,25,0.6448578763641374,0.07672100880154176,0.11585768901709481
31,25,0.6529577145788332,0.07586636768042808,0.11623714179222497
32,25,0.6503155663182085,0.08186661849380471,0.11774232454050419
33,25,0.6744808589550056,0.0801796975824982,0.11483417568388335
34,25,0.6540482235536065,0.08310740325017832,0.1168523246256189
35,25,0.640623403233713,0.08799834825156722,0.12086878120315137
36,25,0.6230098208969829,0.07891853057662956,0.11879340066045928
37,25,0.6302614032704219,0.07634064267505891,0.11726612677236309
38,25,0.66304021622327,0.07233620059792883,0.11421724296314817
39,25,0.6663782333520721,0.07124742653570137,0.11328988438287713
40,25,0.6599324386171569,0.07176274494733662,0.11417300443605409
41,25,0.6616218842214943,0.0735445177027941,0.11459218511249929
42,25,0.666649793367001,0.07567578482292447,0.1143937139308114
43,25,0.6675323060307226,0.07517427294831577,0.11323632590118127
44,25,0.6628794776369239,0.07508973214076832,0.11142353415931222
45,25,0.6362998302243175,0.07874861310468986,0.1155981925379331
46,25,0.6456618729368055,0.06507872359710745,0.10897081656836928
47,25,0.6348187195558518,0.06559134174720384,0.1094242478717783
48,25,0.6469959070986779,0.065402941693319,0.10871836023397642
49,25,0.6580885704753966,0.06468296970240772,0.10840321101448278
50,25,0.6411864036063134,0.06513522955356166,0.11253616090934636
51,25,0.6401254248076368,0.0647928412281908,0.11452291624944821
52,25,0.6431996531995549,0.06643131418852136,0.11309921119377228
53,25,0.6471748654188698,0.06711847055179533,0.11215108077829626
54,25,0.6697251495136007,0.06790262401103973,0.10831976548550414
55,25,0.6545527451649867,0.07110265408176929,0.11127603668280214
56,25,0.6471992827185775,0.06808235949603841,0.10996442302403411
57,25,0.6669234167778973,0.06386691604624502,0.10687637807440824
58,25,0.6624073151689397,0.06378966072225012,0.10880592894206662
59,25,0.6640377848971136,0.06509927413542754,0.10977454451621184
60,25,0.6578028550536136,0.06414920230396091,0.11253107682683998
61,25,0.6586379515029956,0.06461673238377898,0.11192043025901852
62,25,0.6562503892666528,0.06506889689544096,0.11200857459557331
63,25,0.6345724909388163,0.06929665179986387,0.11543443364979959
64,25,0.6779265604474642,0.06202455995667606,0.11148033818456823
65,25,0.6157747823991313,0.07421328091300439,0.12183706553110914
66,25,0.6623521491324236,0.06747369650407109,0.11312183155096521
67,25,0.6664205311993103,0.06692903305795425,0.1099610053367347
68,25,0.6804803727526774,0.06661363628372782,0.10742009201986928
69,25,0.6609385046246973,0.07326142105303006,0.11276396269090803
70,25,0.6584312319678954,0.07342117674095788,0.11523251252927552
71,25,0.6579621320292955,0.07444311657367507,0.11290245273945777
72,25,0.6635115760230654,0.07329294767579995,0.11432186446492987
73,25,0.6718317146894649,0.07049805599790489,0.11147335299724992
74,25,0.6600489261913675,0.07033733795484295,0.11200861054372864
75,25,0.6432239059732686,0.07077321073826169,0.1137268572115642
76,25,0.6279604111776522,0.0726090989037766,0.11794335216448378
