seg_id,Subject_ID,Mask_F1,Mask_Precision,Mask_Recall,Mask_Prob_Mean,Mask_Prob_Max,Mask_True_Sparsity,Mask_Pred_Sparsity
0,25,0.11934900542484245,0.06346153846153843,0.9999999999999899,0.57048304669559,0.8102012276649475,0.061875,0.975
1,25,0.11934900542484245,0.06346153846153843,0.9999999999999899,0.5706220363639295,0.7937334179878235,0.061875,0.975
2,25,0.11906193625965938,0.06329923273657286,0.9999999999999899,0.5706103521585465,0.7768239378929138,0.061875,0.9775
3,25,0.11863391252235679,0.06305732484076429,0.9999999999999899,0.5706484786048531,0.7690386772155762,0.061875,0.98125
4,25,0.11856287425138534,0.06301718650541054,0.9999999999999899,0.570866396073252,0.759719967842102,0.061875,0.981875
5,25,0.11835026897777257,0.06289707750952983,0.9999999999999899,0.5709375900775194,0.7535726428031921,0.061875,0.98375
6,25,0.10583283223080762,0.05587301587301584,0.9999999999999887,0.5709948711283505,0.7410674691200256,0.055,0.984375
7,25,0.10628019323661421,0.0561224489795918,0.9999999999999887,0.5709202545881271,0.7435998320579529,0.055,0.98
8,25,0.11750599520372619,0.06242038216560506,0.9999999999999899,0.5709752722270787,0.7402744293212891,0.06125,0.98125
9,25,0.1184210526314674,0.0629370629370629,0.9999999999999899,0.5711174887418747,0.7403509616851807,0.061875,0.983125
10,25,0.11820895522376923,0.0628172588832487,0.9999999999999899,0.5709736376814544,0.7472913265228271,0.061875,0.985
11,25,0.11820895522376923,0.0628172588832487,0.9999999999999899,0.5710543971508741,0.743834376335144,0.061875,0.985
12,25,0.11806797853298356,0.0627376425855513,0.9999999999999899,0.5710806110873818,0.743720531463623,0.061875,0.98625
13,25,0.11792733770090137,0.06265822784810123,0.9999999999999899,0.571068297624588,0.7444730401039124,0.061875,0.9875
14,25,0.11806797853298356,0.0627376425855513,0.9999999999999899,0.5710496453568339,0.7483773231506348,0.061875,0.98625
15,25,0.11792733770090137,0.06265822784810123,0.9999999999999899,0.5709789766184986,0.7500908374786377,0.061875,0.9875
16,25,0.10671462829726096,0.05636478784040529,0.9999999999999888,0.5709145041182637,0.7503494024276733,0.055625,0.986875
17,25,0.11799761620966234,0.06269791006966431,0.9999999999999899,0.5709561208635568,0.7532373070716858,0.061875,0.986875
18,25,0.11799761620966234,0.06269791006966431,0.9999999999999899,0.5706581708602607,0.7713385224342346,0.061875,0.986875
19,25,0.11764705882341855,0.062499999999999965,0.9999999999999899,0.5708790820837021,0.7689130902290344,0.061875,0.99
20,25,0.1175771971495329,0.06246056782334381,0.9999999999999899,0.5707871810533106,0.7667242884635925,0.061875,0.990625
21,25,0.11764705882341855,0.062499999999999965,0.9999999999999899,0.5707736147753895,0.7697502374649048,0.061875,0.99
22,25,0.1175771971495329,0.06246056782334381,0.9999999999999899,0.5708221344090998,0.7699012756347656,0.061875,0.990625
23,25,0.11743772241981813,0.06238185255198484,0.9999999999999899,0.5707980037480592,0.7667452692985535,0.061875,0.991875
24,25,0.12948793407874867,0.06922592825676523,0.999999999999991,0.5708002871833742,0.7679579854011536,0.06875,0.993125
25,25,0.11736810906924328,0.06234256926952138,0.9999999999999899,0.5709201880730689,0.7653652429580688,0.061875,0.9925
26,25,0.11736810906924328,0.06234256926952138,0.9999999999999899,0.5707714087702334,0.7431559562683105,0.061875,0.9925
27,25,0.11715976331349903,0.062225015713387774,0.9999999999999899,0.570948069319129,0.7464917898178101,0.061875,0.994375
28,25,0.11709047900639465,0.06218592964824117,0.9999999999999899,0.5709938183613121,0.7364288568496704,0.061875,0.995
29,25,0.11729857819894156,0.0623033354310887,0.9999999999999899,0.5709492315910757,0.7346700429916382,0.061875,0.993125
30,25,0.11736810906924328,0.06234256926952138,0.9999999999999899,0.5709433895163238,0.7350873947143555,0.061875,0.9925
31,25,0.11764705882341855,0.062499999999999965,0.9999999999999899,0.5708895184472204,0.73848557472229,0.061875,0.99
32,25,0.10532615200468765,0.055590650663297506,0.9999999999999887,0.5709457602910697,0.7406768202781677,0.055,0.989375
33,25,0.10532615200468765,0.055590650663297506,0.9999999999999887,0.5710010057501494,0.7422458529472351,0.055,0.989375
34,25,0.10564225690266092,0.05576679340937893,0.9999999999999887,0.5708569505251944,0.7462568879127502,0.055,0.98625
35,25,0.10576923076913046,0.055837563451776616,0.9999999999999887,0.5707991387695074,0.7468308210372925,0.055,0.985
36,25,0.11792733770090137,0.06265822784810123,0.9999999999999899,0.5708502752892674,0.7506941556930542,0.061875,0.9875
37,25,0.11778703152874087,0.0625790139064475,0.9999999999999899,0.5709009237214923,0.7494456171989441,0.061875,0.98875
38,25,0.11806797853298356,0.0627376425855513,0.9999999999999899,0.5710234979912638,0.7417204976081848,0.061875,0.98625
39,25,0.11799761620966234,0.06269791006966431,0.9999999999999899,0.571060755122453,0.7422569394111633,0.061875,0.986875
40,25,0.11792733770090137,0.06265822784810123,0.9999999999999899,0.571033901758492,0.7436554431915283,0.061875,0.9875
41,25,0.11799761620966234,0.06269791006966431,0.9999999999999899,0.570947887916118,0.7453609108924866,0.061875,0.986875
42,25,0.11764705882341855,0.062499999999999965,0.9999999999999899,0.5709763422235846,0.7451810240745544,0.061875,0.99
43,25,0.11799761620966234,0.06269791006966431,0.9999999999999899,0.5709707394614816,0.7466199994087219,0.061875,0.986875
44,25,0.10570570570560545,0.055802155992390585,0.9999999999999887,0.5710827499069273,0.7438245415687561,0.055,0.985625
45,25,0.10576923076913046,0.055837563451776616,0.9999999999999887,0.5710745261982083,0.7514632344245911,0.055,0.985
46,25,0.11792733770090137,0.06265822784810123,0.9999999999999899,0.5711743807792664,0.7538148760795593,0.061875,0.9875
47,25,0.11750741839751536,0.06242118537200501,0.9999999999999899,0.5708277383260429,0.7425359487533569,0.061875,0.99125
48,25,0.11771700356707099,0.06253948199620969,0.9999999999999899,0.5711584482714533,0.7517006397247314,0.061875,0.989375
49,25,0.11778703152874087,0.0625790139064475,0.9999999999999899,0.5712289743870497,0.7519237399101257,0.061875,0.98875
50,25,0.11785714285703178,0.0626185958254269,0.9999999999999899,0.5712855574302376,0.7563830018043518,0.061875,0.988125
51,25,0.11764705882341855,0.062499999999999965,0.9999999999999899,0.5712811923027039,0.7614331245422363,0.061875,0.99
52,25,0.11764705882341855,0.062499999999999965,0.9999999999999899,0.5712712631002068,0.7666687965393066,0.061875,0.99
53,25,0.11743772241981813,0.06238185255198484,0.9999999999999899,0.5712480317428708,0.7649223208427429,0.061875,0.991875
54,25,0.10507462686557197,0.0554505356017643,0.9999999999999887,0.5712547444738447,0.7613126635551453,0.055,0.991875
55,25,0.11785714285703178,0.0626185958254269,0.9999999999999899,0.5711532146297396,0.7491624355316162,0.061875,0.988125
56,25,0.11771700356707099,0.06253948199620969,0.9999999999999899,0.5711280709505081,0.7536553144454956,0.061875,0.989375
57,25,0.11736810906924328,0.06234256926952138,0.9999999999999899,0.5709721171855926,0.7503886818885803,0.061875,0.9925
58,25,0.11736810906924328,0.06234256926952138,0.9999999999999899,0.5712030892446637,0.7463895082473755,0.061875,0.9925
59,25,0.11736810906924328,0.06234256926952138,0.9999999999999899,0.5711917111463845,0.7466537356376648,0.061875,0.9925
60,25,0.11736810906924328,0.06234256926952138,0.9999999999999899,0.5712325074337423,0.7473728060722351,0.061875,0.9925
61,25,0.11736810906924328,0.06234256926952138,0.9999999999999899,0.5711682485975325,0.7455271482467651,0.061875,0.9925
62,25,0.11729857819894156,0.0623033354310887,0.9999999999999899,0.5711539443396032,0.7472028732299805,0.061875,0.993125
63,25,0.11771700356707099,0.06253948199620969,0.9999999999999899,0.5711579694412648,0.7452166080474854,0.061875,0.989375
64,25,0.11771700356707099,0.06253948199620969,0.9999999999999899,0.570991493538022,0.7499209046363831,0.061875,0.989375
65,25,0.11771700356707099,0.06253948199620969,0.9999999999999899,0.5710042036883533,0.7532874345779419,0.061875,0.989375
66,25,0.1175771971495329,0.06246056782334381,0.9999999999999899,0.5708413718827069,0.7502122521400452,0.061875,0.990625
67,25,0.11743772241981813,0.06238185255198484,0.9999999999999899,0.5707987546548248,0.74350506067276,0.061875,0.991875
68,25,0.11750741839751536,0.06242118537200501,0.9999999999999899,0.5707797084376216,0.738989531993866,0.061875,0.99125
69,25,0.11785714285703178,0.0626185958254269,0.9999999999999899,0.5708309606090188,0.7385067343711853,0.061875,0.988125
70,25,0.13010053222932824,0.06957621758380768,0.999999999999991,0.5708017378300428,0.7407982349395752,0.06875,0.988125
71,25,0.11764705882341855,0.062499999999999965,0.9999999999999899,0.570705628823489,0.7407599091529846,0.061875,0.99
72,25,0.1175771971495329,0.06246056782334381,0.9999999999999899,0.5708391203172505,0.7394586801528931,0.061875,0.990625
73,25,0.1175771971495329,0.06246056782334381,0.9999999999999899,0.5708359237201512,0.7413647770881653,0.061875,0.990625
74,25,0.11750741839751536,0.06242118537200501,0.9999999999999899,0.5708089260570705,0.7428529262542725,0.061875,0.99125
75,25,0.1175771971495329,0.06246056782334381,0.9999999999999899,0.5708146512322128,0.7425944209098816,0.061875,0.990625
76,25,0.12971698113195398,0.06935687263556112,0.999999999999991,0.5708684942498803,0.7436712980270386,0.06875,0.99125
77,25,0.12979351032436226,0.06940063091482646,0.999999999999991,0.5709723185934127,0.742192804813385,0.06875,0.990625
78,25,0.1175771971495329,0.06246056782334381,0.9999999999999899,0.5708691512793302,0.7365640997886658,0.061875,0.990625
79,25,0.11729857819894156,0.0623033354310887,0.9999999999999899,0.5709490515105426,0.7367392778396606,0.061875,0.993125
80,25,0.11729857819894156,0.0623033354310887,0.9999999999999899,0.5708429216966033,0.7390555739402771,0.061875,0.993125
