seg_id,Subject_ID,Mask_F1,Mask_Precision,Mask_Recall,Mask_Prob_Mean,Mask_Prob_Max,Mask_True_Sparsity,Mask_Pred_Sparsity
0,25,0.11906193625965938,0.06329923273657286,0.9999999999999899,0.5706647060438991,0.8094130754470825,0.061875,0.9775
1,25,0.11927710843362264,0.0634208840486867,0.9999999999999899,0.5708039179630577,0.7929989695549011,0.061875,0.975625
2,25,0.11877624475093793,0.06313775510204078,0.9999999999999899,0.5707979624345899,0.7761051654815674,0.061875,0.98
3,25,0.11849192100527439,0.06297709923664119,0.9999999999999899,0.5708424370922148,0.7683523297309875,0.061875,0.9825
4,25,0.1184210526314674,0.0629370629370629,0.9999999999999899,0.5710610827058553,0.7590667009353638,0.061875,0.983125
5,25,0.11827956989236169,0.06285714285714282,0.9999999999999899,0.5711313328705728,0.7529326677322388,0.061875,0.984375
6,25,0.10576923076913046,0.055837563451776616,0.9999999999999887,0.5711905710399151,0.7406956553459167,0.055,0.985
7,25,0.10608800482208144,0.05601527689369825,0.9999999999999887,0.5711110899783671,0.7432242035865784,0.055,0.981875
8,25,0.11722488038266461,0.06226175349428205,0.9999999999999899,0.571166154127568,0.7399040460586548,0.06125,0.98375
9,25,0.11806797853298356,0.0627376425855513,0.9999999999999899,0.5713134931400419,0.7399804592132568,0.061875,0.98625
10,25,0.11792733770090137,0.06265822784810123,0.9999999999999899,0.5711619482375682,0.7468616962432861,0.061875,0.9875
11,25,0.11813842482089107,0.0627774254914394,0.9999999999999899,0.5712422277219593,0.743410587310791,0.061875,0.985625
12,25,0.11799761620966234,0.06269791006966431,0.9999999999999899,0.5712702048011125,0.7432969212532043,0.061875,0.986875
13,25,0.11785714285703178,0.0626185958254269,0.9999999999999899,0.5712576864846051,0.7440481781959534,0.061875,0.988125
14,25,0.11785714285703178,0.0626185958254269,0.9999999999999899,0.5712397262826562,0.7479458451271057,0.061875,0.988125
15,25,0.11778703152874087,0.0625790139064475,0.9999999999999899,0.5711693998984992,0.7496567368507385,0.061875,0.98875
16,25,0.10658682634720436,0.05629348513598985,0.9999999999999888,0.5711043667048216,0.7499147653579712,0.055625,0.988125
17,25,0.11785714285703178,0.0626185958254269,0.9999999999999899,0.571141039673239,0.7527978420257568,0.061875,0.988125
18,25,0.11778703152874087,0.0625790139064475,0.9999999999999899,0.5708525302074849,0.7708577513694763,0.061875,0.98875
19,25,0.11750741839751536,0.06242118537200501,0.9999999999999899,0.5710698398947716,0.7684351801872253,0.061875,0.99125
20,25,0.11750741839751536,0.06242118537200501,0.9999999999999899,0.5709761522524058,0.7662495970726013,0.061875,0.99125
21,25,0.1175771971495329,0.06246056782334381,0.9999999999999899,0.5709631999954581,0.7692713737487793,0.061875,0.990625
22,25,0.11743772241981813,0.06238185255198484,0.9999999999999899,0.571010189987719,0.769422173500061,0.061875,0.991875
23,25,0.11736810906924328,0.06234256926952138,0.9999999999999899,0.5709857047349215,0.7662704586982727,0.061875,0.9925
24,25,0.12941176470576116,0.06918238993710688,0.999999999999991,0.5709894877299666,0.7674815058708191,0.06875,0.99375
25,25,0.11729857819894156,0.0623033354310887,0.9999999999999899,0.5711131942458451,0.7648924589157104,0.061875,0.993125
26,25,0.11715976331349903,0.062225015713387774,0.9999999999999899,0.5709616165235638,0.7425270676612854,0.061875,0.994375
27,25,0.11702127659563438,0.06214689265536719,0.9999999999999899,0.5711403423920274,0.7458606362342834,0.061875,0.995625
28,25,0.11695215593609766,0.062107904642409,0.9999999999999899,0.5711895282752812,0.735821545124054,0.061875,0.99625
29,25,0.11715976331349903,0.062225015713387774,0.9999999999999899,0.5711450190469622,0.7340697646141052,0.061875,0.994375
30,25,0.1172291296624117,0.06226415094339619,0.9999999999999899,0.571134740896523,0.7347614169120789,0.061875,0.99375
31,25,0.11743772241981813,0.06238185255198484,0.9999999999999899,0.5710803018510342,0.7381546497344971,0.061875,0.991875
