seg_id,Subject_ID,PCC,MAE,RMSE
0,25,0.6340967895761568,0.07900845621770713,0.12772778422918568
1,25,0.6286638775261837,0.07774542204628233,0.12872036533125933
2,25,0.622966509243998,0.0753052538097836,0.12758752758666494
3,25,0.6235107462804194,0.07496824363362975,0.12821335300884443
4,25,0.6275335282364608,0.07545976123656147,0.12898847280258705
5,25,0.6442869107830388,0.07376688543823548,0.1268597770979358
6,25,0.6446736748013816,0.0751816126680933,0.12589717003705914
7,25,0.6437562777398643,0.07434315769700334,0.12578056740114207
8,25,0.5937364364156758,0.07691214997554198,0.13366809443737077
9,25,0.6177491779277041,0.07526001278776676,0.13016880915287515
10,25,0.6389790405540948,0.07854987346043345,0.13158055575619199
11,25,0.6329084954799273,0.07984712931269314,0.13300384290845546
12,25,0.6366581525048293,0.07882251769478898,0.1326503938860053
13,25,0.6461345076393542,0.07773061837593559,0.1311107515926994
14,25,0.6414221090346857,0.07442325990996324,0.12964747892296816
15,25,0.6551499886642562,0.07163378415920306,0.12580171064023293
16,25,0.6738269581308394,0.0700224467139924,0.12099424426108302
17,25,0.658662168750377,0.0772501580300741,0.1275446839779675
18,25,0.620010194920758,0.0771091124927625,0.12977238150198636
19,25,0.6377169827772584,0.07727447022683918,0.12916670279688497
20,25,0.6327332780026643,0.0808309268008452,0.13298837782949394
21,25,0.618787676040811,0.07816166435251944,0.1309278052987972
22,25,0.5930283351868032,0.08109961496083998,0.13650335820403844
23,25,0.5998405101218226,0.08198899039300159,0.13682636911061713
24,25,0.5912618802743922,0.08283106045564637,0.13892718788604694
25,25,0.5750114341802282,0.08087409488158301,0.13842217254687111
26,25,0.5379529245878067,0.08548764895182102,0.1457114778760526
27,25,0.5733799323495056,0.08252945080806967,0.14103285978495633
28,25,0.5817071327743317,0.08097181140154135,0.13884416024106266
29,25,0.5882116153212072,0.08035573184431996,0.1374087254369501
30,25,0.6163873530951852,0.07585893270530505,0.13272532313910168
31,25,0.6313954149847132,0.07383584601193434,0.13047093330963935
32,25,0.6218911174422741,0.07500624730833806,0.1306531494448614
33,25,0.6562500592350529,0.07094243093393743,0.12497600842097226
34,25,0.6351476863712912,0.07256102722487412,0.12688527104824093
35,25,0.6133607768141645,0.07222775815112982,0.12839091920852186
36,25,0.574337902876485,0.07935023220139556,0.13790772231209092
37,25,0.5824363124897627,0.07904653238249011,0.13710761893744464
38,25,0.6203545205418904,0.07811754515510984,0.13386903255161034
39,25,0.6161031252512156,0.07826568943797611,0.13440770493021498
40,25,0.6154634467691462,0.07810502104926854,0.1347607587221368
41,25,0.6158981487862218,0.07739974325839284,0.13428918662292993
42,25,0.6374778568462784,0.07374287466369424,0.12941762708332463
43,25,0.6392187184272359,0.07340415292735997,0.1282282913345084
44,25,0.6254725107457951,0.07483693391317502,0.12881211049012253
45,25,0.5817565615927158,0.07919674081029371,0.1359231247915107
46,25,0.5990895161344274,0.08391740028630011,0.1352470883473969
47,25,0.5866679997753695,0.0867061005497817,0.13801004041872836
48,25,0.5968428998972526,0.08672993145766668,0.13740758406133916
49,25,0.6127157394340786,0.08480607073754072,0.13545359120526035
50,25,0.5832678453675006,0.08931165938964114,0.1418852416167735
51,25,0.5792742998380217,0.09105699830921367,0.1442302600637492
52,25,0.5830426401375072,0.08782413027016446,0.1412984674330178
53,25,0.5946626919563253,0.08635886863281485,0.13900231689653103
54,25,0.6223139108927551,0.07858802058733999,0.1313480323403402
55,25,0.606097535928441,0.07917907868977636,0.1334255299717371
56,25,0.5988868895778763,0.07800942818401381,0.13304121548614095
57,25,0.6158054127601602,0.07733917151461356,0.13039731161006665
58,25,0.6077747122328633,0.0803777606843505,0.1346539780878142
59,25,0.6053088693019474,0.08210799719323404,0.13580943534419473
60,25,0.6118062659463558,0.08672597389668227,0.13860941305610297
61,25,0.6126695307750456,0.08612804247129588,0.13798635454482552
62,25,0.6149734991033855,0.08551193504424645,0.13719569116504812
63,25,0.5859785517265944,0.08683035682018726,0.14166594999817841
64,25,0.6286938179985616,0.0852117487980786,0.13633974801629015
65,25,0.5567211992475123,0.09363821745156656,0.15076957276029007
66,25,0.6166559585153769,0.08552213607943031,0.13790390529173455
67,25,0.6298521877035512,0.08176090972889596,0.1330559514662861
68,25,0.6494689284969942,0.07867539517261321,0.12877923607201627
69,25,0.6387363298379473,0.07723906676314073,0.12963929167726465
70,25,0.6423319455274804,0.07616088565817336,0.13056292326453364
71,25,0.6393259509183812,0.07709147056943039,0.12917491192846633
72,25,0.6529390893123721,0.07887966536334716,0.1309807521019283
73,25,0.6602842968300272,0.07420148970153605,0.12607834288199818
74,25,0.6413149705479115,0.07749767982488265,0.13025997718164994
75,25,0.6164648141233563,0.08102089377905941,0.13530182097467167
76,25,0.5954376364765793,0.08285656239459058,0.13984980965808258
77,25,0.5928319254907556,0.08116584179224447,0.13809002654639796
78,25,0.5831603192363223,0.08433516870078166,0.1403611159453103
79,25,0.559287626714063,0.08867705041368026,0.14604050173942934
80,25,0.5531788122560464,0.08680695084447507,0.14450245905446568
81,25,0.5839605935804786,0.08296069178089965,0.13912614386250075
82,25,0.5836348948561831,0.08228462001890875,0.13920170484436215
83,25,0.5739700943543883,0.08343112382339314,0.14281000345924985
84,25,0.5586820940073767,0.08580494114197791,0.14476757835109919
85,25,0.6294891126241016,0.08153062184806913,0.1367827468935063
86,25,0.5953971028320154,0.08311295240011532,0.14011667462994695
87,25,0.6204662536660145,0.0781928676419193,0.1340607646840737
88,25,0.622965423405761,0.07777574247738812,0.13345453707789973
89,25,0.6204785820518022,0.07977751995582366,0.13641538952980017
90,25,0.6132646954022122,0.07793612803827273,0.1351649082371335
91,25,0.6125033581725051,0.0806452676479239,0.13599946338147048
92,25,0.590813776221378,0.08413075892371126,0.14029619846893535
93,25,0.6307536239984113,0.07919668523420115,0.1327499422117226
94,25,0.6044053539685474,0.0816866647900315,0.13601121740995248
95,25,0.6024748811863101,0.081932824862306,0.13600586651886712
96,25,0.6019575921196416,0.08293611650646199,0.13676040287189883
97,25,0.6043615605479824,0.08209790401160717,0.13609409614877646
98,25,0.6297067253516202,0.07944997734797653,0.13181558499231943
99,25,0.5972920106367342,0.08836851446540095,0.13957729671553035
100,25,0.6260230552540377,0.08443338524404681,0.13440159532905066
101,25,0.6612260707996218,0.08078657108912012,0.12814710778921853
102,25,0.6625500952047548,0.08046547448582714,0.12876785219118583
103,25,0.6638509899161379,0.08048412684671348,0.12941507524581997
104,25,0.6580276729025917,0.07871032778959489,0.12820709779460526
105,25,0.6565338450302087,0.07844786533940351,0.12837974639106836
106,25,0.6576787607762687,0.0779348551898147,0.12795866362595598
107,25,0.6823130879968999,0.07618479936092626,0.12255648790546034
108,25,0.6563163782583517,0.07918551473645494,0.1290640585683593
109,25,0.6461661173269547,0.07958090728381649,0.13090268503596453
110,25,0.6351385730420792,0.0813290643086657,0.13298689038106776
111,25,0.6341503520120859,0.08216827481868677,0.13385882051926024
112,25,0.6315540220812738,0.08205157644697465,0.13376384288905765
113,25,0.656670720327309,0.0801692811481189,0.1299653467866392
114,25,0.6610551086682246,0.0793437038140837,0.1285670045547447
115,25,0.6677796686610339,0.07360127582214773,0.12364614521370215
116,25,0.685171901732807,0.06869926748389844,0.11769655437052552
117,25,0.6539019040075725,0.0699370930501027,0.12189180518792696
118,25,0.6492040502094006,0.07089734659093665,0.12398110939235664
119,25,0.6465501030571978,0.07691948463674635,0.12865542259575125
120,25,0.6471603825616608,0.07852344328624895,0.12966705437406653
121,25,0.6236046981165992,0.08451193352229894,0.13583801068163284
122,25,0.6043388316436138,0.08804754707729444,0.14099653095788459
123,25,0.5915940273757079,0.08910311958985404,0.14313425387455486
124,25,0.5820131076352363,0.09024045457830653,0.1453677056005972
125,25,0.5438779334566457,0.09493386293994263,0.1506879998185642
126,25,0.6297114074533813,0.08593816452892497,0.13622876018167668
127,25,0.6168101963395015,0.08344656234607101,0.13483790127158732
128,25,0.6266093178453869,0.0844267869507894,0.13489920752067064
129,25,0.668966569796423,0.07279694531054702,0.12467393671411892
130,25,0.641481132082219,0.07384854199597612,0.12764091972691247
131,25,0.6372731626164242,0.07641504832135979,0.12987263361187773
132,25,0.661184572108976,0.07319294197775889,0.12457407930298056
133,25,0.673614128769437,0.07175750354363117,0.12133884984133178
