seg_id,Subject_ID,Mask_F1,Mask_Precision,Mask_Recall,Mask_Prob_Mean,Mask_Prob_Max,Mask_True_Sparsity,Mask_Pred_Sparsity
0,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5653075896948576,0.681117057800293,0.061875,1.0
1,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5653595716133714,0.6691462993621826,0.061875,1.0
2,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5653128908202052,0.6589405536651611,0.061875,1.0
3,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5654257404059172,0.6542424559593201,0.061875,1.0
4,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5654110050573945,0.6485312581062317,0.061875,1.0
5,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.565386565066874,0.6452187895774841,0.061875,1.0
6,25,0.10426540284350293,0.054999999999999966,0.9999999999999887,0.5654111753404141,0.6330792903900146,0.055,1.0
7,25,0.10426540284350293,0.054999999999999966,0.9999999999999887,0.5653526703640819,0.6344397664070129,0.055,1.0
8,25,0.11542991754995,0.061249999999999964,0.9999999999999899,0.5653767175972462,0.6316404938697815,0.06125,1.0
9,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5654259449616075,0.630448043346405,0.061875,1.0
10,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5650153508782387,0.6270192861557007,0.061875,1.0
11,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5651005408912897,0.6253877282142639,0.061875,1.0
12,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5651269263029098,0.625361979007721,0.061875,1.0
13,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5649855240434408,0.625646710395813,0.061875,1.0
14,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5650531502440572,0.6277275085449219,0.061875,1.0
15,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5651490092650056,0.628369927406311,0.061875,1.0
16,25,0.10538780343388464,0.055624999999999966,0.9999999999999888,0.565095326565206,0.6287028789520264,0.055625,1.0
17,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5648732185736298,0.6298633813858032,0.061875,1.0
18,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5652777842804789,0.6293489336967468,0.061875,1.0
19,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5650196340680123,0.6278770565986633,0.061875,1.0
20,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5649967669695616,0.6267586946487427,0.061875,1.0
21,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5651878126338125,0.6278024911880493,0.061875,1.0
22,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5650896200165153,0.6281129717826843,0.061875,1.0
23,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5648665849119425,0.6269180178642273,0.061875,1.0
24,25,0.12865497076011337,0.06874999999999996,0.999999999999991,0.564857155457139,0.6250940561294556,0.06875,1.0
25,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5650580738484859,0.6241852045059204,0.061875,1.0
26,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.565008582957089,0.6286619305610657,0.061875,1.0
27,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5650522924214602,0.6294391751289368,0.061875,1.0
28,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5651816014200449,0.6271585822105408,0.061875,1.0
29,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.565049467086792,0.6265038251876831,0.061875,1.0
30,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5650252080708742,0.6352018713951111,0.061875,1.0
31,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.565043641962111,0.6371428966522217,0.061875,1.0
32,25,0.10426540284350293,0.054999999999999966,0.9999999999999887,0.565113784968853,0.6384963989257812,0.055,1.0
33,25,0.10426540284350293,0.054999999999999966,0.9999999999999887,0.5649354401230812,0.6392993330955505,0.055,1.0
34,25,0.10426540284350293,0.054999999999999966,0.9999999999999887,0.5650977410376072,0.6413876414299011,0.055,1.0
35,25,0.10426540284350293,0.054999999999999966,0.9999999999999887,0.5650313187018037,0.6413918733596802,0.055,1.0
36,25,0.11653914067087304,0.061874999999999965,0.9999999999999899,0.5648939976841212,0.643554151058197,0.061875,1.0
